State,Max,Min,Mean
kilometre,450.0,450.0,450.0
cm,330.0,0.25,30.189195714285713
metre,200.0,6.0,71.66666666666667
am,45.0,0.0,31.904761904761905
micrometer,400.0,2.0,115.5
second,110.0,0.25,11.56578947368421
kilogram,740.0,0.0,297.5685714285715
petagram,6.0,2.0,4.0
kmh,208.0,111.0,162.25
centimeter,30.5,2.54,10.94
week,16.0,2.0,6.625 
millisecond,15.0,10.0,12.5
min,70.0,1.0,25.1025
GHz,89.0,1.4,27.105
ng,50.0,50.0,50.0
centimetre,3.0,3.0,3.0
pm,45.0,0.0,15.615384615384615
GW,1.5,1.2,1.35
millimeter,100.0,4.0,43.13333333333333
kW,25.0,1.5,10.833333333333334
minute,190.0,1.0,26.79032258064516 
megawatt,450.0,0.0,182.4